Video_ID,Title,Artist,Channel,Published_At,URL,ImageURL
ETPU2RY_aCY,حمزة المحمداوي  - اول مرة - ( حصــــرياً ) | 2024 Hamza al-Mhamadawi - awl mara,Hamza Almahmdwi - حمزة المحمداوي,Hamza Almahmdwi - حمزة المحمداوي,2024-10-11T15:07:26Z,https://www.youtube.com/watch?v=ETPU2RY_aCY,https://i.ytimg.com/vi/ETPU2RY_aCY/mqdefault.jpg
YOSuVdRpaNE,حسام الرسام - كيمر عرب | Hussam Alrassam Gemar Arab 2024,Hussam AlRassam - حسام الرسام,Hussam AlRassam - حسام الرسام,2024-06-10T16:00:57Z,https://www.youtube.com/watch?v=YOSuVdRpaNE,https://i.ytimg.com/vi/YOSuVdRpaNE/mqdefault.jpg
tIWr1MO3uVo,احمد ستار - ناري 2025 ( Ahmed Sattar - Nari ( Offical Music Video,Ahmed Sattar - احمد ستار,Ahmed Sattar - احمد ستار,2024-12-19T14:00:07Z,https://www.youtube.com/watch?v=tIWr1MO3uVo,https://i.ytimg.com/vi/tIWr1MO3uVo/mqdefault.jpg
rhOAyPKHWEo,Al Shami - Doctor [Official Music Video] (2025) / الشامي - دكتور,Al Shami - الشامي,Al Shami - الشامي,2025-01-13T14:00:08Z,https://www.youtube.com/watch?v=rhOAyPKHWEo,https://i.ytimg.com/vi/rhOAyPKHWEo/mqdefault.jpg
2tnAgz-juJc,Assi El Hallani - Bahebek We Bghar | Official Music Video | عاصى الحلانى - بحبك وبغار,Rotana,Rotana,2012-10-06T01:37:06Z,https://www.youtube.com/watch?v=2tnAgz-juJc,https://i.ytimg.com/vi/2tnAgz-juJc/mqdefault.jpg
VkH3aMIWntw,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,Fadel Chaker,Fadel Chaker,2025-04-18T15:00:07Z,https://www.youtube.com/watch?v=VkH3aMIWntw,https://i.ytimg.com/vi/VkH3aMIWntw/mqdefault.jpg
UMN1zILdLTs,Elyanna - GANENI (Official Music Video),ElyannaVEVO,ElyannaVEVO,2024-04-12T14:23:10Z,https://www.youtube.com/watch?v=UMN1zILdLTs,https://i.ytimg.com/vi/UMN1zILdLTs/mqdefault.jpg
-NK89xCWM-o,Nassif Zeytoun x Mortadha Ftiti - Ya Sidi Ensa (2024) / ناصيف زيتون ومرتضى فتيتي - يا سيدي انسى,Nassif Zeytoun,Nassif Zeytoun,2024-08-21T13:00:08Z,https://www.youtube.com/watch?v=-NK89xCWM-o,https://i.ytimg.com/vi/-NK89xCWM-o/mqdefault.jpg
K5h8dim2qIQ,❤️🎵 Top 10 Arabic Songs You Can’t Stop Listening To 🌹🎧🌙 | Al-Layl Hams,مملكة الألحان - Mamlakat Al-Alhan,مملكة الألحان - Mamlakat Al-Alhan,2025-05-16T12:24:13Z,https://www.youtube.com/watch?v=K5h8dim2qIQ,https://i.ytimg.com/vi/K5h8dim2qIQ/mqdefault.jpg
qDzDFSItK_0,Amr Diab - Ya Ana Ya La (Official Lyric Video) | (كلمات) عمرو دياب - يا أنا يا لاء,Amr Diab,Amr Diab,2020-12-28T14:28:49Z,https://www.youtube.com/watch?v=qDzDFSItK_0,https://i.ytimg.com/vi/qDzDFSItK_0/mqdefault.jpg
